query,intent,response
What is Tekworks' mission?,about,Empowering individuals and organizations through innovative technology solutions.
When was Tekworks founded?,about,"August 1, 2019."
Where is Tekworks headquartered?,about,"Vijayawada, Andhra Pradesh, India."
What is Tekworks' official website?,about,https://www.tekworks.in.
What is Tekworks' corporate address?,about,"Sai Odyssey Complex, Gurunanak Colony Road, Vijayawada, AP 520008, India."
Who are the directors of Tekworks?,about,Sridhar Tirumala and Sivaramakrishna Boppana.
What is Tekworks' company registration number?,about,U72900AP2019PTC112579.
Is Tekworks a public or private company?,about,Private limited company.
What is Tekworks' authorized capital?,about,₹10 lakh.
What is Tekworks' paid-up capital?,about,₹10 lakh.
What is Tekworks' industry classification?,about,Information Technology (IT) services.
Is Tekworks listed on any stock exchange?,about,"No, Tekworks is an unlisted company."
What is Tekworks' approach to innovation?,about,"Combining research, development, and real-world application to drive digital transformation."
Does Tekworks have any certifications?,about,"Yes, Tekworks is an ISO certified company."
What is Tekworks' flagship program?,about,The Center of Excellence (CoE) program for Full Stack Development.
What is the duration of Tekworks' CoE program?,about,12 months.
How many hands-on labs are included in the CoE program?,about,50 programming challenges.
How many real-world case studies are included in the CoE program?,about,5 per year.
What is the placement assistance rate for the CoE program?,about,100% placement assistance.
What is the focus of Tekworks' CoE program?,about,Developing niche digital skills and competencies in Industry 4.0 technologies.
What is the Skill Assure Framework?,about,A framework powering Tekworks' CoE program to accelerate talent development.
Does Tekworks offer e-learning programs?,about,"Yes, through their platform bitLabs."
What is bitLabs?,about,An online gamified learning platform focusing on job-ready programs for software job aspirants.
What is Tekworks' Internship Based Hiring (IBH) program?,about,A 6-month software developer internship program leading to full-time employment.
What is the stipend offered during the IBH program?,about,"Up to ₹10,000 per month."
What is the average CTC after completing the IBH program?,about,₹3.5 lakh per annum or more.
Does Tekworks have a presence in other cities?,about,"Yes, Tekworks has offices in Hyderabad and Bengaluru."
What industries does Tekworks serve?,about,"High-Tech, BFSI, Retail, E-commerce, and Start-ups."
What is Tekworks' approach to talent acquisition?,about,Recruiting and training graduates to become enterprise-ready technology professionals.
Does Tekworks offer placement services?,about,"Yes, Tekworks provides placement assistance to its trainees."
What is Tekworks' work culture like?,about,Rated 5.0/5 on AmbitionBox for company culture.
What is Tekworks' rating on AmbitionBox?,about,4.2/5 based on employee reviews.
What is Tekworks' approach to employee development?,about,Focusing on skill development and career growth opportunities.
Does Tekworks offer work-life balance?,about,"Yes, with a rating of 4.1/5 on AmbitionBox."
What is Tekworks' approach to promotions and appraisals?,about,Providing opportunities for career advancement based on performance.
Does Tekworks offer competitive salaries?,about,"Yes, with a rating of 3.8/5 on AmbitionBox."
What is Tekworks' approach to job security?,about,Providing stable employment with a rating of 4.0/5 on AmbitionBox.
Does Tekworks offer work satisfaction?,about,"Yes, with a rating of 3.6/5 on AmbitionBox."
What is Tekworks' approach to company culture?,about,Fostering a positive and collaborative work environment.
What is Tekworks' approach to skill development?,about,Providing opportunities for continuous learning and growth.
Does Tekworks offer promotions?,about,"Yes, based on performance and career progression."
